@relation is
@attribute h0 numeric
@attribute h1 numeric
@attribute h2 numeric
@attribute h3 numeric
@attribute h4 numeric
@attribute h5 numeric
@attribute h6 numeric
@attribute h7 numeric
@attribute h8 numeric
@attribute h9 numeric
@attribute digit {0,1,2,3,4,5,6,7,8,9}
@data
188,22,43,20,196,17,45,23,0,0,4
96,45,292,41,83,54,287,37,0,0,5
85,39,191,41,80,42,190,39,0,0,5
101,40,215,33,98,46,206,36,0,0,5
109,50,185,24,106,54,180,25,0,0,5
86,37,180,44,81,41,177,43,0,0,5
78,61,173,21,65,72,164,19,0,0,5
105,52,176,22,97,57,174,19,0,0,5
69,42,202,26,60,47,201,22,0,0,5
74,28,193,33,72,30,191,33,0,0,5
55,44,238,26,50,51,229,28,0,0,5
78,32,231,26,73,36,228,25,0,0,5
75,46,195,35,67,53,189,34,0,0,5
125,31,192,52,119,35,190,50,0,0,5
84,27,161,25,83,28,160,25,0,0,5
97,41,225,40,90,46,222,38,0,0,5
101,35,207,34,98,38,204,34,0,0,5
94,38,250,45,88,43,246,44,0,0,5
112,45,233,35,105,52,226,35,0,0,5
87,23,307,51,82,27,304,50,0,0,5
79,59,209,25,69,66,205,22,0,0,5
75,53,260,41,64,62,253,39,0,0,5
103,90,295,25,94,96,292,22,0,0,5
93,43,84,3,94,45,79,6,0,0,7
86,68,75,3,83,74,66,6,0,0,7
36,90,133,2,31,98,122,5,0,0,7
99,41,100,7,96,47,91,10,0,0,7
69,55,120,6,65,61,112,8,0,0,7
76,53,96,4,75,57,89,7,0,0,7
92,53,133,4,91,57,126,7,0,0,7
85,55,94,3,85,57,90,5,0,0,7
97,100,121,2,98,102,116,5,0,0,7
93,56,117,2,88,64,106,5,0,0,7
106,50,126,5,104,55,118,8,0,0,7
83,57,123,12,77,65,113,14,0,0,7
84,56,111,2,86,57,107,5,0,0,7
49,90,124,3,47,96,114,7,0,0,7
84,56,78,2,85,58,73,5,0,0,7
91,61,101,3,91,64,95,6,0,0,7
68,33,41,37,85,21,48,42,0,0,8
69,34,40,29,81,23,50,30,0,0,8
79,27,21,33,100,17,20,44,0,0,8
64,41,27,32,67,36,34,30,0,0,8
104,16,26,23,95,21,25,19,0,0,8
63,38,27,39,68,31,36,37,0,0,8
81,33,35,35,96,25,36,42,0,0,8
67,40,20,39,76,29,33,37,0,0,8
89,29,31,20,105,21,31,28,0,0,8
52,36,52,37,70,35,36,54,0,0,8
94,20,27,28,74,31,25,19,0,0,8
77,36,52,36,97,27,50,47,0,0,8
88,49,27,38,78,52,31,31,0,0,8
67,27,35,28,73,26,31,33,0,0,8
53,22,27,41,71,8,37,45,0,0,8
77,26,25,26,73,26,29,22,0,0,8
93,21,42,39,76,33,35,34,0,0,8
78,19,24,37,70,19,32,29,0,0,8
70,40,31,23,78,33,37,24,0,0,8
90,13,34,51,62,31,26,41,0,0,8
75,35,46,15,85,33,40,23,0,0,8
76,42,61,26,89,42,48,39,0,0,8
72,20,30,25,80,21,20,34,0,0,8
77,42,40,23,88,38,37,30,0,0,8
68,39,33,35,98,22,37,48,0,0,8
86,32,38,19,86,38,26,25,0,0,8
78,33,44,43,65,41,41,38,0,0,8
79,41,32,34,101,28,36,43,0,0,8
84,41,34,41,100,21,58,37,0,0,8
73,49,32,17,89,37,40,21,0,0,8
63,40,30,35,87,23,40,42,0,0,8
74,47,44,46,83,34,61,42,0,0,8
65,42,32,29,75,31,44,28,0,0,8
74,25,40,27,74,27,36,29,0,0,8
76,37,37,40,81,23,60,31,0,0,8
70,38,35,28,99,22,38,41,0,0,8
65,28,23,44,67,15,47,33,0,0,8
93,37,74,27,113,20,88,30,0,0,9
101,38,76,21,113,25,90,20,0,0,9
104,31,67,24,109,22,80,20,0,0,9
85,33,56,13,99,22,64,16,0,0,9
105,34,73,16,117,25,79,19,0,0,9
98,25,97,14,117,20,88,28,0,0,9
94,33,82,34,102,13,114,22,0,0,9
94,50,83,7,112,36,93,11,0,0,9
105,36,96,21,112,31,99,23,0,0,9
120,29,75,13,130,22,79,16,0,0,9
69,35,7,2,80,27,12,5,0,0,1
35,58,42,29,46,49,49,31,0,0,2
70,36,112,21,62,43,106,20,0,0,5
114,24,59,14,114,22,63,12,0,0,4
42,36,69,22,46,30,77,20,0,0,3
55,48,30,12,65,45,26,19,0,0,6
92,29,54,5,94,31,48,9,0,0,7
36,32,36,16,46,31,28,25,0,0,8
25,37,31,13,42,31,26,24,0,0,0
92,36,21,6,103,25,32,6,0,0,1
60,34,40,15,69,24,51,14,0,0,9
48,48,55,34,53,47,52,38,0,0,2
46,49,56,24,49,44,63,22,0,0,3
75,16,28,33,72,5,53,19,0,0,4
71,17,105,31,64,23,100,30,0,0,5
43,49,44,9,51,45,44,13,0,0,6
71,25,72,6,71,27,68,8,0,0,7
79,27,47,17,85,22,51,18,0,0,9
31,35,20,17,45,20,36,16,0,0,0
34,16,29,22,36,19,21,27,0,0,8
86,32,8,3,97,24,13,6,0,0,1
61,58,61,21,63,55,65,20,0,0,3
47,45,52,42,48,39,63,37,0,0,2
146,27,77,11,141,28,80,7,0,0,4
75,31,84,20,65,39,78,18,0,0,5
55,50,77,18,51,53,75,17,0,0,6
64,32,42,32,63,26,55,25,0,0,9
40,17,31,16,27,25,28,11,0,0,0
48,23,32,24,47,27,25,27,0,0,8
84,18,51,15,86,17,51,16,0,0,7
101,35,5,6,112,27,10,9,0,0,1
53,28,48,43,52,28,49,42,0,0,2
68,46,51,19,68,45,53,18,0,0,3
107,26,55,8,107,23,61,5,0,0,4
41,55,39,11,37,57,39,9,0,0,6
62,41,80,30,58,45,76,30,0,0,5
68,21,72,15,66,23,70,15,0,0,7
55,31,42,18,48,49,13,29,0,0,8
56,48,25,21,76,30,41,23,0,0,9
50,16,41,21,39,26,32,20,0,0,0
42,28,62,53,44,28,60,55,0,0,2
106,37,5,5,117,29,10,8,0,0,1
110,5,47,12,108,6,47,11,0,0,4
52,68,58,21,52,67,60,20,0,0,3
53,33,87,18,48,40,78,20,0,0,5
41,32,34,21,48,34,23,30,0,0,6
74,16,57,12,73,17,56,12,0,0,7
47,33,17,34,48,25,32,27,0,0,8
59,22,35,27,67,15,41,28,0,0,9
43,17,23,24,38,19,24,21,0,0,0
78,34,6,2,88,27,10,5,0,0,1
38,40,56,59,40,37,60,58,0,0,2
56,38,42,14,60,32,50,12,0,0,3
107,23,57,10,103,25,57,8,0,0,4
59,12,115,22,50,19,110,20,0,0,5
30,37,27,11,30,40,21,14,0,0,6
52,28,49,5,55,28,46,8,0,0,7
40,29,39,41,36,30,41,38,0,0,8
75,26,33,29,68,24,44,20,0,0,9
33,22,18,22,29,18,30,14,0,0,0
138,30,5,14,149,22,10,17,0,0,1
45,35,38,32,45,35,38,32,0,0,2
59,52,37,13,59,51,39,12,0,0,3
101,22,57,8,98,23,58,6,0,0,4
61,23,74,20,53,31,66,20,0,0,5
36,33,23,20,37,32,24,20,0,0,6
84,39,52,6,88,37,52,8,0,0,7
53,14,45,27,36,34,22,30,0,0,8
67,30,44,27,67,26,52,23,0,0,9
118,47,6,2,129,39,11,5,0,0,1
43,10,31,32,37,13,31,29,0,0,0
